CP,OUTB,BACK,TOT
ENGM-ENVA,4026,4041,8067
ENBR-ENGM,3739,3732,7471
ENGM-ENZV,3199,3169,6368
EKCH-ENGM,3155,3124,6279
EGLL-EIDW,2911,2915,5826
EKCH-ESSA,2766,2759,5525
EFHK-ESSA,2626,2599,5225
ENBR-ENZV,2606,2595,5201
ENGM-ESSA,2588,2588,5176
EKCH-EKYT,2563,2556,5119
EGKK-EIDW,2129,2131,4260
ENGM-ENTC,2074,2091,4165
EGCC-EIDW,1964,1961,3925
EGPB-EGPD,1923,1909,3832
ESPA-ESSA,1912,1915,3827
EGBB-EIDW,1915,1677,3592
EGLL-EGPH,1785,1782,3567
EGLL-EKCH,1630,1628,3258
EGSS-EIDW,1602,1620,3222
EETN-EFHK,1570,1638,3208
EGPH-EIDW,1575,1574,3149
ENBR-ENVA,1529,1599,3128
ESNU-ESSA,1556,1570,3126
ENBO-ENGM,1511,1527,3038
EGLL-ESSA,1507,1529,3036
EGLL-EGPF,1441,1438,2879
EFHK-EFOU,1398,1401,2799
ESGG-ESSA,1436,1329,2765
EFHK-EKCH,1345,1396,2741
EGLL-ENGM,1296,1287,2583
EGPH-EGSS,1290,1281,2571
ENAL-ENGM,1265,1301,2566
EGLC-EGPH,1252,1245,2497
EFHK-EVRA,1217,1218,2435
EGPF-EIDW,1212,1218,2430
EKCH-EKRN,1187,1184,2371
ESMS-ESSA,1191,1099,2290
ENBO-ENLK,1099,1112,2211
ESMS-ESSB,1083,1077,2160
EGAC-EGLL,1080,1079,2159
ENAL-ENBR,1063,1069,2132
ESSB-ESSV,1066,1063,2129
ENBO-ENTC,1072,1056,2128
EGAA-EGSS,1022,1048,2070
ENEV-ENGM,1018,1017,2035
EGCC-EGLL,1015,1017,2032
ENHF-ENTC,1114,891,2005
ENCN-ENGM,1002,1002,2004
EFHK-EFRO,1003,992,1995
EGJB-EGKK,997,997,1994
ENAT-ENTC,845,1125,1970
EGGD-EIDW,959,958,1917
EGLL-EGPD,957,960,1917
EGKK-EKCH,954,956,1910
EGAA-EGKK,944,944,1888
ENGM-ENHD,941,939,1880
EKCH-ENZV,935,932,1867
ENBR-ENTO,905,927,1832
ENBR-ENCN,904,904,1808
EGAA-EGCC,896,901,1797
ENBO-ENVA,892,891,1783
EKCH-ENBR,882,892,1774
EGGP-EIDW,882,879,1761
EGAA-EGNX,848,855,1703
EGLC-EIDW,852,849,1701
EGKK-EGPF,845,847,1692
ENBO-ENSK,868,814,1682
EFHK-ENGM,846,824,1670
EGAA-EGPH,816,824,1640
ENBR-ENFL,815,808,1623
EGLL-EGNT,807,806,1613
ESGG-ESSB,797,805,1602
EGAA-EGGP,804,794,1598
EGKK-EGPH,796,797,1593
ENBO-ENSH,754,806,1560
EGGP-EGNS,778,775,1553
BIKF-EKCH,778,766,1544
EETN-EVRA,764,764,1528
EGNM-EIDW,749,760,1509
ESNS-ESSA,749,749,1498
EFHK-EGLL,730,735,1465
ENBL-ENGM,732,727,1459
ENTO-ENTO,1459,0,1459
EGAA-EGGW,715,711,1426
EGAC-EGCC,707,704,1411
EFHK-EFKU,701,700,1401
EGGD-EGPH,700,701,1401
ENGM-ENOV,701,700,1401
EGKK-ENGM,696,699,1395
EGJB-EGJJ,701,691,1392
EGJJ-EGLL,694,695,1389
EGAC-EGBB,694,691,1385
EGLL-EICK,690,691,1381
EKAH-EKCH,698,676,1374
EGLC-EGPF,687,685,1372
EGGW-EIDW,682,684,1366
ENBR-ENHD,684,678,1362
EGJA-EGJB,676,685,1361
EGCC-EKCH,673,684,1357
EGAA-EGBB,672,683,1355
EFHK-ESGG,682,671,1353
EGHI-EGJB,667,667,1334
EGJJ-EGKK,663,667,1330
EKCH-EVRA,653,673,1326
EETN-ESSA,657,662,1319
ENGM-ENML,661,657,1318
ESNZ-ESSA,649,646,1295
EKCH-ESGG,654,633,1287
ESSB-ESTA,635,632,1267
EGHI-EGJJ,631,628,1259
EGAA-EGPF,614,625,1239
EGNX-EGPH,608,601,1209
ENBR-ENKB,598,598,1196
ENAL-ENVA,582,604,1186
EGGW-EGPH,591,592,1183
EGKK-ESSA,585,591,1176
EGHI-EGPH,582,582,1164
ESSA-EVRA,575,584,1159
ENLE-ENZV,556,597,1153
EGAC-EGPH,576,567,1143
EGAA-EGGD,575,567,1142
ENBN-ENVA,565,565,1130
EGHI-EGPF,562,561,1123
EGGD-EGPF,553,554,1107
EGPA-EGPD,556,551,1107
EGNX-EIDW,499,605,1104
ENRA-ENVA,544,542,1086
EKCH-EKSB,526,531,1057
ENBR-ENML,529,525,1054
EFHK-EFVA,523,521,1044
EGCC-EGNS,522,519,1041
ENBO-ENRA,508,530,1038
BIKF-EGLL,518,516,1034
EGPF-EGPO,513,516,1029
EGCC-EGPD,515,511,1026
EGSS-EKCH,513,513,1026
EGNT-EIDW,512,512,1024
ENGM-ENSG,590,428,1018
EGAC-EGNM,509,507,1016
ENBR-ENTC,508,501,1009
ENVA-ENZV,470,524,994
EGPD-ENZV,497,494,991
EKCH-EKVG,489,494,983
EGSS-EICK,489,491,980
EKRK-EKRK,980,0,980
EGLL-EINN,485,483,968
ESNU-ESSB,486,478,964
EKCH-ENVA,479,478,957
EGJB-EGNX,475,477,952
ENMS-ENVA,474,476,950
ENBN-ENBO,437,508,945
EGGW-EGPF,471,469,940
ENGM-EVRA,469,471,940
ESSA-ESTA,469,465,934
ENDU-ENGM,459,465,924
ESSA-ESSV,452,461,913
EGAC-EGLC,451,455,906
EGLL-ESGG,452,454,906
EGKK-EGPE,451,450,901
ENFL-ENGM,451,447,898
ENKR-ENTC,428,468,896
ENBO-ENEV,454,434,888
EGAA-EGNT,433,447,880
ESNN-ESSA,438,442,880
ENKR-ENVD,446,428,874
EGSS-EINN,435,433,868
ENNA-ENTC,443,424,867
ENTO-ENVA,433,432,865
EGHQ-EGKK,426,426,852
EGSS-EKBI,430,421,851
ENAN-ENEV,424,427,851
ESNQ-ESSA,422,423,845
EFHK-EFKT,376,468,844
EKBI-ENGM,418,426,844
EIDW-EKCH,420,421,841
ESMT-ESSB,416,415,831
BIKF-ENGM,419,410,829
EGPF-EGSS,417,411,828
EGAC-EGPF,411,407,818
ENGM-ENKB,405,401,806
EGBB-EGPD,395,405,800
ENST-ENVA,392,405,797
ESDF-ESSB,391,398,789
ENTO-ENZV,390,393,783
ENJS-ENZV,366,408,774
EKEB-EKTE,374,399,773
EFHK-EFJY,390,379,769
EGBB-EGPH,388,379,767
EKCH-ENCN,381,380,761
EGBB-EGPF,375,383,758
ESOW-ESOW,758,0,758
ESMQ-ESSA,376,381,757
ENSK-ENTC,370,365,735
EIDW-EIKY,367,366,733
EGCC-EICK,366,364,730
EFHK-EFIV,408,317,725
EGKK-EGPD,359,360,719
EGPE-EGPO,345,364,709
EGPF-EGPI,352,356,708
EFTU-ESSA,353,352,705
ENBO-ENMS,349,356,705
ESNU-ESPA,327,375,702
EGPA-EGPH,348,351,699
ENBO-ENST,331,367,698
ESDF-ESSA,347,351,698
EGAC-EGKK,349,348,697
EIDL-EIDW,345,349,694
ENRM-ENVA,311,375,686
EGPD-EIDW,342,343,685
ESNU-ESNZ,345,337,682
EGHI-EIDW,337,341,678
EGSS-EVRA,336,339,675
BIKF-EGCC,336,338,674
BIKF-EGKK,332,334,666
ENSD-ENSG,244,416,660
EGLL-EGPE,328,328,656
EGHI-EGJA,325,329,654
EGHI-EGNT,329,323,652
ESNX-ESSA,324,326,650
ESNO-ESSA,317,327,644
EFHK-EFKS,320,322,642
EGAC-EGHI,318,319,637
EGKK-EGNS,319,316,635
BIKF-EIDW,313,316,629
EGPH-EKCH,314,314,628
EEKE-EETN,312,309,621
ENNM-ENVA,343,275,618
EGPF-EGPU,306,309,615
EGSS-ESSA,303,309,612
EGGW-EGPE,306,297,603
EGKK-ENBR,301,300,601
ENGM-ENRO,300,300,600
ENAN-ENTC,293,299,592
ESND-ESSA,296,296,592
EGPF-EGPR,300,290,590
EGPD-ENBR,293,294,587
ENSR-ENTC,294,292,586
EEKA-EETN,292,291,583
ENBR-ENOA,304,274,578
ENBO-ENBR,285,291,576
EGPC-EGPD,279,296,575
EGPF-EGPL,291,284,575
ESMQ-ESSB,285,285,570
